RollNo ,Name,Branch,Age
472964,qsdxdbwlgy,Cse,17
568916,rpqrgczvri,Electrical,17
582233,blnkcsbruq,Mechanical,17
24940,wrzyzmhsbl,Electrical,20
230931,ioitxguqbz,Electrical,22
505385,nknopgcqpk,ECE,21
282872,cdmhsaowps,Cse,17
383316,gpalruiziy,Cse,17
837275,lxzwngrtzl,Mechanical,19
657996,qviluvjrdd,Cse,17
703215,okjobrvbnn,Mechanical,19
64949,dblpvljtxu,ECE,18
24870,tppelsduex,Mechanical,17
557754,ccytkjcqmn,Cse,19
406990,idwhlolaoq,Cse,18
80742,nlzdbkqvps,Cse,19
791760,asvdlrffqj,Mechanical,20
799954,eobnzmyivd,Mechanical,22
663904,tgcqakmpcw,ECE,18
104603,pwpazyrfcy,Cse,22
988577,msszyomefx,Electrical,17
56176,ubgyrvwxcd,Mechanical,19
304248,yhcukkwrih,Mechanical,17
956225,dgopllzfib,ECE,21
170686,qlmqqxugui,Cse,21
677335,kromgfitea,Cse,20
467963,wsldwblpxk,ECE,21
211495,wyqqxtggau,Cse,19
123098,ldtuoszgui,Cse,20
399937,mlsafapgts,ECE,20
172222,uixcxkvwij,ECE,19
130823,fqobllpqrw,Mechanical,21
554932,srqpkzegjb,ECE,17
595986,yuhdzwfnmz,ECE,20
670979,qrccoymmup,Electrical,17
910849,xnjubsdvqc,Mechanical,21
770985,oiybixqigp,Mechanical,20
628573,iajlntzuzp,Cse,22
902875,gyndcamrim,Mechanical,19
52722,akvjkixcpa,Mechanical,19
593618,yfxhjehxij,Mechanical,22
598138,lxjuvnvnkx,ECE,22
299680,bhxrwwdrgs,Mechanical,18
692234,fazyacitqe,Electrical,20
420325,pwbqszqvxq,Electrical,22
735237,yveqktnvlx,ECE,18
686961,brhchnbpwt,Electrical,22
938445,lytztgbwys,Mechanical,20
596596,agslonyhkg,Electrical,19
902535,zgnkuqutxr,Electrical,22
488841,gldtsecqui,Electrical,17
292642,qibetanpcn,Electrical,21
797160,dryrmsszhc,Electrical,17
909434,xnfxyxrwsv,Electrical,17
257612,xozjtayhll,Electrical,17
774791,godvuyrfma,ECE,21
187561,csgrawduqf,Mechanical,18
766070,duexbinbfv,ECE,21
541509,cpbcielqhk,Mechanical,22
448520,omanouzbpn,Mechanical,19
507653,muvdxfcxuo,Mechanical,18
675053,ykuesbmetc,ECE,20
553528,yxvpcksqxx,ECE,20
444090,lsxubbdudz,Electrical,18
816139,xgbevszmde,Mechanical,18
331257,jzzrhhvyig,ECE,22
789960,lmvdvoumzg,Electrical,20
149089,dqtlmlusms,Mechanical,21
206683,mreneflzep,Electrical,18
332956,djjaudszua,Electrical,21
912709,wquwsxdpjz,Cse,22
360608,wsjapqwdfo,Cse,17
956143,hxryzrjtac,Electrical,17
947734,darjuunicz,Electrical,17
239113,fyehnrknai,Mechanical,17
740490,srxkyaufpf,Mechanical,20
1196,hmecbiymhj,Cse,19
286305,yulgemrvxt,ECE,21
127476,jdqekmidyo,Mechanical,20
24168,evovpkucar,Cse,18
782365,vcodeqpocw,Cse,19
902079,wkyytmrfdk,Electrical,20
39968,ozqgeqyuxm,ECE,20
989053,ztllmcmtll,ECE,22
187749,outavtdmgn,ECE,22
242888,qjbsvctgrs,Mechanical,20
893828,cykampwwmt,ECE,22
133240,sjzyxzcaei,Electrical,20
702182,urgmpkewlm,Cse,20
473469,pbqzpmcnwr,Mechanical,19
997263,rkhpzsguau,ECE,18
265482,rudrfdxwau,Mechanical,21
613232,iutedayejg,Cse,21
721284,gsjsgymvtb,Cse,19
374558,sqqxwjlkvz,ECE,19
215180,weflsxdepi,Mechanical,20
50361,jfndovhjkw,Electrical,18
222021,gkroqecscv,Mechanical,19
659211,aoifuyngtk,Mechanical,20
580110,qevzvvcdhz,ECE,19
327786,xopvwxqjvt,Electrical,20
838341,duhiducbte,Cse,20
396559,axbzpbkyam,Cse,17
50621,ejmojyckpy,Mechanical,17
437289,gcxjtmgjtq,Electrical,19
177053,rngabodjzt,ECE,22
779318,ukbxxngcxe,Electrical,22
513072,zflxmfuwvp,Mechanical,18
965397,auirviuwco,Cse,17
822509,snqsxvxxdi,ECE,21
880001,gsteizoxxx,ECE,21
157354,fqdtlakpsv,Electrical,21
897811,wdhcxdmtgw,Electrical,21
702976,ppslpacfqu,Mechanical,17
51243,okqyuealpw,Cse,20
172709,zwtuiyjznm,Mechanical,18
996197,vxqujmfhoe,Electrical,19
869742,szrcsvcmdg,Electrical,21
33453,qlynuqouvr,Electrical,21
415264,pykiownysb,ECE,21
276419,ljwjwjtoam,ECE,17
564916,attislqygo,Mechanical,21
8762,nuhzbcporc,Mechanical,17
356745,gsfkvggrgp,Electrical,19
483769,ncciszcluk,ECE,20
750276,nexeoiswdd,ECE,22
158135,apowwdqhqt,Electrical,19
801856,vdrutrnbqr,Mechanical,22
628684,mvhdjlzqyr,Electrical,18
561361,joihdogzlh,Mechanical,22
179108,jgcjuuautg,Mechanical,18
249843,cjxezyruja,Cse,18
32060,fcjsnhelhj,Cse,19
44318,xlmlbeoabo,Cse,20
166065,zdkyexbeuj,Mechanical,18
369365,wxwjmhlthb,Cse,18
988347,zsaakfmsrj,Electrical,17
210728,bgerrhvtfd,Mechanical,19
922217,ppyuzntfwc,Cse,20
470498,duchflhpvh,ECE,17
996759,hbhprxjppm,Electrical,18
447467,edztqxwyze,Electrical,18
444054,yoytrcapcj,Mechanical,22
319993,wlrczefznz,Electrical,19
13533,ylmgtulwqv,Cse,17
791940,nserwovcek,ECE,20
941678,rnkheebhnx,ECE,20
844342,isyfzxxrgs,Mechanical,18
715290,ccxfjnlxrl,Cse,20
229079,vteekpfbfi,Mechanical,18
81602,rzfobnroti,Mechanical,17
363621,szdkfzgegk,Electrical,19
253770,pgszhfaygi,Mechanical,21
347866,cnslnixgzf,Electrical,17
859215,pwussgjluq,Mechanical,20
35066,jutyqgjcfx,ECE,17
852878,tnkhepcrfg,Electrical,17
716811,dhtcrdaxve,ECE,17
744204,hvqlwtixdi,Cse,22
80479,mqqnekhdgd,Mechanical,18
660022,qayrohklci,ECE,17
579951,imenyxucqx,Cse,20
797074,fyokbvwurh,ECE,20
934615,ujbmomjxqh,Electrical,22
166703,khglpowtiy,Electrical,19
120986,gboymhbjkb,ECE,19
918613,dajdmvtrjq,Electrical,19
866084,kzydoebhdv,ECE,21
225187,fnhotzrvbw,ECE,17
448336,kwqpbridbw,Cse,21
84944,ezcgrdrszs,Mechanical,17
640071,mtbxxjpzsi,Electrical,17
495967,zocproangv,Mechanical,17
868024,kakwrwlcvz,Cse,21
949159,lbzfhwaiei,Electrical,20
215832,riqjyfqsgp,ECE,17
571288,asxlebpgux,ECE,18
374331,ypxxxgidab,Electrical,19
213465,nsgajxrmkv,Mechanical,17
611668,kkchbphyjd,Electrical,21
285924,kgesaezlei,Cse,19
762023,bynrgqmrof,Cse,18
195385,ubviaoiexj,Mechanical,21
259538,vgvqlfopql,Cse,22
552969,pqozswyift,ECE,22
906753,ngyhrndogd,Cse,22
836905,bqyffjzlwv,Mechanical,22
8535,mmuqgoqtna,Cse,18
781772,pqlccpjfkb,Mechanical,18
570157,ulnanvwjuc,Mechanical,20
640965,akfrkdhjuj,Cse,18
278478,ubarnsbgvh,Mechanical,17
758350,jwkrzjojlm,Cse,18
855516,tyjlqfalfm,ECE,22
624141,hwkgzvmofp,ECE,18
370706,xltteignxq,Cse,21
149182,xqqvholvub,Cse,22
393907,hjvddikyrr,Cse,20
365464,hunuhfytbr,Cse,17
