RollNo ,Name,Branch,Age
669,rewjhkoepa,Mechanical,17
986,cxbppmbsuc,Mechanical,19
690,ehhvtfcasb,Electrical,20
857,pnqyhdrdar,Cse,20
222,gpectamxji,ECE,19
204,ddukktdbip,Electrical,22
157,eafcirkqgs,Mechanical,22
929,utmdvhghgx,ECE,17
117,lkcbllahxg,ECE,20
146,foqdzxadht,Electrical,22
900,gruanvjlie,Mechanical,19
592,kttvjotcxq,Mechanical,18
416,kxiquknsph,Cse,21
678,xgzrbkjsgj,ECE,21
688,erwmommdlq,Cse,20
647,ywthpjcmse,Mechanical,19
470,frwdehwwju,ECE,19
422,odcxakxtzw,Mechanical,18
977,qddqsnhhba,ECE,21
72,nqnehryylf,ECE,21
224,fyaaonjzzb,Cse,18
822,ogzeefzbxk,Electrical,20
235,lxzopmokkm,Mechanical,22
263,qpvilfdunj,Electrical,17
852,wzrrneswsz,Electrical,20
5,jeydijgwik,Mechanical,22
817,qlpwpbbmup,Cse,20
10,vxwzfuvayx,Cse,21
186,hiahufgtwh,Cse,19
620,gvgiwnncip,ECE,20
18,ddcrktcoyp,ECE,19
534,fwvdcfkwia,Mechanical,18
287,mcvuxtdndp,Cse,17
243,xddfohxqmd,Electrical,21
722,ufaanmcpob,ECE,21
189,wcyhsbbyej,Electrical,21
846,nexkwjjliz,ECE,17
167,tjinipsmne,Mechanical,22
207,soflkrzvgg,Cse,22
405,jvylbrjxbz,Cse,22
854,qkqppzfjjq,Electrical,18
338,pdpuhmchti,Cse,22
542,rnscmnyoom,ECE,18
876,zzxsfxokzi,Cse,17
740,hhrzmsriul,Mechanical,18
939,plkmiktknk,ECE,22
264,lavrstrnmc,Mechanical,21
380,apdtmutwpd,Electrical,18
466,fwzuakolyp,Cse,20
218,ponnviluyi,Electrical,18
342,hkgnsfnvad,Cse,18
685,fvevjrgocf,ECE,20
631,bukrjehhjk,Electrical,20
991,vrzyufunhc,Mechanical,20
151,ybcvsaxaxp,ECE,21
572,tsnhrftnxg,ECE,21
94,cypxwvmcom,ECE,18
54,dlvovhsdit,Electrical,22
350,swgisutftk,Mechanical,17
248,jvvtflruqq,Cse,22
784,nluzyoslrz,ECE,21
604,qoxzbteyxo,ECE,18
667,hjbgnavvej,Mechanical,19
102,iegsiorqtv,Electrical,17
100,gcdpriwoxk,Cse,17
403,avyjbnuzls,Electrical,21
317,xqbfqidjud,Cse,20
83,rduzfnanij,ECE,19
249,mbbgicsiqk,Mechanical,19
748,qifrvizivo,Cse,18
828,bszkphvrfd,ECE,17
455,fvlkodberx,ECE,19
364,qqjvovbcov,Mechanical,17
733,atilsirrtw,Mechanical,19
277,gpwmlxmots,ECE,18
310,whrnueagrj,Electrical,22
551,gzvworhslz,Cse,20
490,pggtuesfsr,Mechanical,19
958,ktahanbkwz,Cse,18
214,yllniheior,Mechanical,22
63,jwadtecazn,Cse,17
106,mwimgmgkug,Electrical,18
390,qlarxpgova,Cse,21
315,desdtpugdh,Cse,22
575,gmgtaitqwy,Cse,21
232,yclyfoiire,Cse,21
478,sbpqxajwct,Mechanical,18
966,dctbcisqev,ECE,22
914,vlddmcpskc,Mechanical,18
980,yfiufwkqaf,Mechanical,21
935,qnysatecoc,Mechanical,17
62,ahjvvwijnu,Electrical,21
745,znhhehdpsn,Electrical,18
568,vdigkvnflm,Cse,17
812,wmblljbeyz,Mechanical,18
143,rytewejmld,Mechanical,22
941,fbrorrumoy,Electrical,18
995,fyjcqmttri,ECE,19
371,zuthjgjzai,Mechanical,17
615,zilpfbsgvd,Mechanical,22
782,cbcstemebu,Mechanical,22
352,cuhmgayeyp,Mechanical,19
351,plzthppuko,Cse,20
587,lcwmqdqppa,Electrical,19
804,nqdwtgplyb,Cse,20
378,jzpsfuhwtu,Electrical,20
671,xyurxlcqch,Cse,21
951,czkzelyucn,Mechanical,20
34,zadldmfwvc,Mechanical,21
428,pidbjfowou,Mechanical,18
343,zhtzykyvje,Cse,22
835,ywxdhdopso,Mechanical,21
607,stanjmguss,Electrical,22
284,tnukbxmkvn,Mechanical,18
161,dwrrmbroqt,ECE,17
383,mregjbepzn,ECE,19
8,ctjpqgbbpc,ECE,19
696,icnmaahrip,Electrical,20
68,xjgicqpovl,ECE,22
239,suncblebro,Mechanical,18
797,hvshuimrps,Electrical,22
624,fbmjlowxnt,ECE,20
267,awvhfesjhw,Cse,21
602,ybhxxnhcla,Mechanical,22
653,jfguvxdnjo,Mechanical,19
790,lbepushqkn,ECE,20
318,fllmbanmem,Cse,17
450,vpgthpnlds,Mechanical,20
88,ypkyrvcclf,Electrical,18
268,ovnnrkvnas,ECE,18
266,kuxwkmnewv,Mechanical,18
643,audkbethdt,ECE,18
648,swpjyawmbn,Electrical,22
706,qvxqzomtsm,Cse,19
95,xhatmgolgp,Mechanical,19
82,opyxzkocnu,ECE,20
312,jnjjvpjeme,Electrical,17
182,byiockcqiy,Electrical,17
554,zanlsboisb,Mechanical,22
362,qzslluolvq,Mechanical,18
448,rmwbdvrnzq,ECE,18
446,knhcfgrklv,Mechanical,22
158,coqvzvlycm,Electrical,17
720,igtopslzsj,Cse,18
974,cdpxavsusf,ECE,22
229,jvsjbkjewa,Cse,21
344,jxpkkmuvac,Cse,20
376,ougrhbcofo,ECE,21
993,nlpztmhvso,Electrical,19
526,unhxsgnmgw,ECE,21
407,yxuqriarvb,Cse,21
735,gzblcxfoev,Mechanical,22
64,mcewmzoeqn,Electrical,22
324,lopokukwdb,ECE,18
121,wbxbsvgpyo,ECE,20
750,zmskxjbjcw,Electrical,17
997,qyehvaptyc,Electrical,18
809,qhtbpovsft,Electrical,17
792,zdheqymvtn,ECE,19
862,bqwfhbfvge,Mechanical,21
789,padrgxahff,Cse,21
907,edxzjznkwx,Mechanical,21
262,pmxyhlmmzz,Cse,19
525,iqkrcjykuv,Mechanical,20
415,eqbooyouet,Cse,20
398,orggrmtnnl,Electrical,19
211,rqitfcrpag,Mechanical,18
479,avdlfopejo,Electrical,17
868,lavnkqnbnu,ECE,19
439,upkwmzkjrw,Electrical,22
294,xhgivqjpfo,ECE,17
139,ctzrrkyxvb,ECE,17
614,adaemoovnv,Electrical,19
226,wkokdwnado,ECE,17
588,vumhplsmiv,ECE,18
118,svstmsrmxf,Electrical,19
298,kwffwfnbyn,Cse,21
786,wqrffcscge,Electrical,18
878,mwfhiuxltl,Electrical,18
273,kujwzfeksp,Cse,19
472,uwlxhdgllm,Mechanical,19
116,vduxyknqhf,Cse,21
84,xfdyqokpvy,Electrical,21
45,zsxkuuowek,Cse,19
433,sxdxqiokpy,Mechanical,19
424,sospuljadh,ECE,20
635,ylzwosaglm,Mechanical,19
627,xyvsyyujwu,Electrical,21
313,esdkzpnxkr,ECE,22
741,cuwearnlrx,Cse,22
930,yjcrlddzvi,Cse,20
925,eeuzraktds,Cse,21
658,nqwsjaaipp,Cse,17
35,zhesomhwvt,ECE,19
612,cocmedamrh,ECE,17
56,vfvtowmafp,Electrical,19
552,zjcooqodyp,ECE,22
910,gxrymdjkhn,Electrical,19
487,jzknueosbk,Electrical,17
442,fkqnldyhhl,Mechanical,18
843,cnlradjuat,Electrical,22
912,thtfsmlquo,Cse,19
206,kujfrtoazm,Cse,20
164,ukzawyvatf,Cse,22
37,fuarmawoxr,ECE,17
908,wdsrbfsxnx,Mechanical,18
122,hrcoitnkcw,Cse,17
922,unramtxsta,Cse,17
363,hwgalkfoki,Mechanical,22
770,yjkazxksil,ECE,18
274,zmzbgrcndv,Electrical,17
241,sxyleyaxru,ECE,19
550,gqligxqtve,ECE,20
558,lvjwntbsct,Cse,22
7,yyxmytrcar,Mechanical,17
411,yepborfkjc,Mechanical,20
485,fhibrvjube,ECE,21
12,kwsylspvpb,Cse,17
46,moggtpdtgj,Electrical,21
921,meikvkmibo,Electrical,21
443,vzqcbyvwtx,ECE,18
855,avvxksdgfg,Cse,22
940,hqshhnuglz,Electrical,20
