RollNo ,Name,Branch,Age
286,dcwzsgvgog,Electrical,22
94807,uvqxutwxfz,ECE,22
12011,tclyvbzddr,ECE,20
42267,pfmtlqdzqp,Cse,20
60707,desblbsbdy,Mechanical,22
51615,swyyyuawrg,Mechanical,20
82280,givxchspqq,Mechanical,18
44907,ldbwqpplrk,Mechanical,17
46601,irtxrlnobv,Mechanical,22
35913,njwpovznkk,Cse,18
5740,ucbkymslxe,Mechanical,17
95903,udmxulijry,Cse,19
94238,dyncwvwsnd,Electrical,17
57852,dqmwttprwa,ECE,20
49126,cvfzoqjimc,Electrical,17
82161,gxqudhxcpp,Cse,17
60842,sbopkxitfx,Mechanical,17
22743,lkhhwsuuaz,Mechanical,18
85074,ywskcbflov,ECE,21
86881,mcowlvsaso,Electrical,18
87531,pqedlbvrwk,Electrical,18
1145,lnkxqfnxbx,Cse,18
66173,kelgfjvgaq,Electrical,19
22259,wgwrbhsymu,ECE,20
15939,uuasklyggb,Electrical,20
72552,jkqspcqccy,ECE,22
22411,kjtvumvscc,Electrical,22
21259,yreqzvojzi,Cse,18
39700,brgypzlhtq,Cse,17
65804,ttcjmhfyht,Mechanical,18
7845,kghptdngqd,Mechanical,19
45299,suzkrgjqhf,Electrical,22
49784,snpwtbgyal,Mechanical,20
36497,wtnpuutmax,Mechanical,17
25361,prtbwxxxqa,Electrical,20
27479,efapqachkj,ECE,19
37319,mjwepmxmya,ECE,21
8378,lhfiktucfv,ECE,20
4377,yedqccvwub,Cse,19
84356,gufvaxsjqt,Mechanical,19
57732,yknqcoycih,Cse,17
15247,bezsbnophw,ECE,17
83071,ctfzefpgns,Electrical,19
15306,hbeptvbvkc,Cse,18
19317,laxxydvvrl,ECE,17
34924,loaulbcsvd,Electrical,21
58596,wibzzmkxix,Electrical,20
59404,nserkfdswl,Mechanical,20
50437,zogjxyssmg,Electrical,17
45794,emyvhpqpgf,Electrical,22
63024,tmzjifslmx,Electrical,17
97104,cwzbgtwfut,ECE,22
7128,ioyunhslgb,Cse,19
95297,adaeqezrvs,ECE,17
46475,wqcqwbbnjd,Cse,17
18169,xckocpibwu,Mechanical,17
75360,lynpageyhw,ECE,18
81189,hpsfwktrbl,Cse,20
51268,oqvarbqlny,Electrical,17
75643,ueeddoyiag,Mechanical,20
44231,xwvinvkdaw,Cse,20
6556,espjvvfuja,Electrical,18
20808,spofblmrlc,Electrical,21
69660,mtijhywhpu,Cse,19
12175,eawqjfjpfm,Cse,18
34410,cwyqvuhraq,ECE,17
35570,clnzqjeyhu,Electrical,17
29523,zuxjmphnwu,Mechanical,20
84980,ybswolvjuh,Cse,21
62032,eqqorymctj,ECE,20
58412,qrpumxmaej,Cse,19
75914,zqcmrzooff,Mechanical,21
59084,wgabtgodwx,Cse,21
96965,epktjzuxuq,Mechanical,22
75039,ergqaknnbj,ECE,22
57528,dagmoyswza,Mechanical,18
28726,elwlghocth,Electrical,17
14023,touxrfqiiw,Mechanical,20
68686,tqohnrjbzx,Cse,18
46632,maeilexjdv,ECE,22
55340,ulfnhhebxk,Mechanical,21
59276,jbovjowbfz,Cse,19
37806,vsflnpzwer,Cse,17
10439,msqbqxhogu,Mechanical,21
3878,zswwcowoco,Mechanical,19
28143,tlkbxoslby,Mechanical,17
