RollNo ,Name,Branch,Age
592,kttvjotcxq,Mechanical,18
534,fwvdcfkwia,Mechanical,18
542,rnscmnyoom,ECE,18
572,tsnhrftnxg,ECE,21
551,gzvworhslz,Cse,20
575,gmgtaitqwy,Cse,21
568,vdigkvnflm,Cse,17
587,lcwmqdqppa,Electrical,19
554,zanlsboisb,Mechanical,22
526,unhxsgnmgw,ECE,21
525,iqkrcjykuv,Mechanical,20
588,vumhplsmiv,ECE,18
552,zjcooqodyp,ECE,22
550,gqligxqtve,ECE,20
558,lvjwntbsct,Cse,22
580,mabqiqndst,Cse,21
573,gcwidacumm,Mechanical,21
514,zffuyqyqcl,Mechanical,18
563,erqhhicybq,Cse,20
516,txouwmanne,Electrical,20
590,brtaxmnaox,Cse,19
553,jlwbdhmqox,ECE,20
530,drtvwiqrwb,Electrical,20
536,gtrzophkhb,Cse,17
576,vxwihadbre,Mechanical,18
527,qkhogkmcyv,Electrical,22
545,dvncuyplgc,Mechanical,20
584,qalbodzeid,Cse,17
533,jeennkjgvl,Electrical,21
591,emhmigyggp,Electrical,18
582,xloxromlcz,Cse,19
589,ehqnweyaoc,Electrical,17
506,mdzkuplbar,Electrical,20
513,smwmyxpaku,Electrical,22
532,djnclawaat,Electrical,22
557,epkjstzslh,Mechanical,22
547,micmabnyfp,Mechanical,22
523,hpkgbostae,Electrical,19
585,iicdbtqlcx,Cse,22
529,dmbqsuptod,Cse,20
560,jzcfabylxb,Mechanical,18
574,gwsyvqhrxm,Cse,19
555,dltotbtkqc,ECE,18
503,jvjvfxzehc,Mechanical,17
507,chhbzstzlz,Mechanical,19
528,qsfrkbnons,Mechanical,22
556,ahnwrydwea,Electrical,21
578,tcguwzzlbx,Electrical,21
567,ozidgzvgfe,Mechanical,20
510,afrwqgosmd,ECE,17
538,qmlucxumzg,ECE,21
581,olvoplgbpv,ECE,22
515,ixydogfbjj,Electrical,18
571,fxafatnsdo,Electrical,17
549,npgdbvbejd,Cse,19
586,vtsulfetxt,Electrical,17
593,hwdnlffupj,Mechanical,19
521,wwaxazdvuo,Mechanical,20
517,sxhpplsldd,Mechanical,19
598,dowcxsodgg,Cse,20
504,fhyuuyetwi,Cse,18
518,fobwzosjkw,Mechanical,21
509,jetlkjsyfn,Mechanical,19
564,dkottvsfbb,Cse,22
570,mnrtqleerw,Mechanical,22
548,lcwszghpip,Electrical,17
597,ofsajtgjyi,ECE,17
565,icaipkkedx,Mechanical,17
579,lufbveexbt,ECE,20
512,oeaeedtdhk,Electrical,19
539,fwjkicqwpo,Mechanical,19
501,fdkzbnaboa,ECE,20
508,tfblbbalhk,ECE,19
594,kflnfywvti,Cse,18
561,orxeuyejfj,ECE,22
505,ffjqxhnhki,ECE,18
541,hqvsaagknj,Electrical,18
596,qihadpbzqp,Mechanical,22
531,ievvecprok,Electrical,20
502,ptvtsipmyw,Electrical,19
569,qronqkzpnx,Cse,22
520,pekquqfhex,Mechanical,22
543,dxxcqpsgrl,Cse,21
524,jqgodtggkq,Cse,18
540,adcnbobebo,Mechanical,22
595,rfrwjqpurn,ECE,17
546,juxblmzyqu,Cse,20
599,waecxjpyhy,Mechanical,22
577,arexwkmvgv,Electrical,20
566,dfqanhitba,Mechanical,19
583,hgcyyrlptp,Electrical,19
522,pxvpinipae,Cse,17
511,iqgclbonys,Electrical,21
559,kdhrmctkkg,Mechanical,22
544,qucumrhtnh,Electrical,18
537,gsqxaxdnmw,Electrical,22
535,rfxvfehbnj,ECE,20
500,pdrtzclhjr,ECE,20
519,zbybkpglff,Electrical,17
562,agtrnanzgo,ECE,17
