RollNo ,Name,Branch,Age
700,qurbswgfje,Cse,20
701,izgmzyqblt,Cse,20
702,mkydlqlqhv,ECE,18
703,mvzpmhbmjz,Mechanical,17
704,wyqcjcrvgi,Electrical,22
705,hwcekblrnk,Cse,22
706,qvxqzomtsm,Cse,19
707,leyxqhqvvw,Mechanical,18
708,gdclimayqw,Mechanical,20
709,xnjtnbjzwv,Cse,18
710,zxhtdfgcix,ECE,21
711,ayzgstmsqw,Mechanical,17
712,dwfjppbkqm,Cse,20
713,jviceuztut,Cse,18
714,emozewjmlk,Electrical,17
715,hrieodzatb,Cse,18
716,sufgrzscmq,Mechanical,21
717,fpgdcustmb,ECE,17
718,mxfvujinsx,ECE,18
719,dsemznyhxg,ECE,21
720,igtopslzsj,Cse,18
721,kzbfmptnst,Mechanical,22
722,ufaanmcpob,ECE,21
723,dpvkshgotg,Mechanical,18
724,chfguhbxys,Electrical,18
725,eqiwrdyvvt,Mechanical,20
726,suvayufryu,Cse,22
727,eawuyybxxv,ECE,20
728,rlofzoiamy,Mechanical,17
729,walslkvygm,Electrical,17
730,nvsdbahrtg,ECE,20
731,hwdutoardb,Electrical,22
732,qlxqnfzule,ECE,22
733,atilsirrtw,Mechanical,19
734,hvabjbmhgc,Mechanical,19
735,gzblcxfoev,Mechanical,22
736,ebaoyzvnxb,Electrical,20
737,ckfmxwvjxo,Electrical,22
738,qaqvczgmus,Cse,17
739,azhqytcesk,ECE,17
740,hhrzmsriul,Mechanical,18
741,cuwearnlrx,Cse,22
742,gpkzujjlui,Electrical,19
743,zmdqedqeit,Mechanical,21
744,mggppqlgti,Electrical,21
745,znhhehdpsn,Electrical,18
746,zakrruvsdc,Electrical,19
747,ambvtgglwm,ECE,20
748,qifrvizivo,Cse,18
749,hmmydzkaox,ECE,17
750,zmskxjbjcw,Electrical,17
751,nissodgfih,Electrical,17
752,gxxdvggdan,ECE,18
753,nyhvmtxvgf,ECE,19
754,gceqnzvcyt,Mechanical,20
755,qitxalwpck,Cse,18
756,ixsogfnjxe,Mechanical,19
757,onuktowhvq,Cse,17
758,yndsvodyrv,ECE,19
759,bzfuyodpmf,ECE,19
760,judqxzhkdt,Mechanical,17
761,zrtprirlcb,Electrical,18
762,cnvenygogm,Cse,19
763,bruyiwwfps,Cse,17
764,avfqluhxkf,Mechanical,22
765,ruisdoovla,Electrical,19
766,vhrfxivtxr,Electrical,17
767,jkjcjjxmlj,Mechanical,21
768,rtpwpqtfmi,Mechanical,20
769,wqkhmrdhsw,ECE,19
770,yjkazxksil,ECE,18
771,nnraotekcv,Cse,20
772,flnhxrzfvx,Cse,18
773,pharzcribt,Mechanical,21
774,xlymgqlogz,Electrical,21
775,pollvidvob,Electrical,21
776,pwikocuyyz,ECE,21
777,rrnbfvgssq,Electrical,20
778,udczhsigey,Electrical,22
779,thzcrkazio,Electrical,18
780,igcpbemdwp,Cse,17
781,fnyzedqnmp,ECE,21
782,cbcstemebu,Mechanical,22
783,nlusrxgzfl,Electrical,18
784,nluzyoslrz,ECE,21
785,hcjostxkxp,Mechanical,18
786,wqrffcscge,Electrical,18
787,nyrkqtqtsq,Cse,19
788,ldsqjgezsb,ECE,21
789,padrgxahff,Cse,21
790,lbepushqkn,ECE,20
791,ueattnmxkq,Cse,20
792,zdheqymvtn,ECE,19
793,yjiymdfbct,ECE,21
794,sntgzvvqbv,ECE,21
795,kfdwgfcade,ECE,18
796,ckretmpxow,ECE,17
797,hvshuimrps,Electrical,22
798,ofqiwvkzom,ECE,21
799,bqfjruhsid,ECE,19
