RollNo ,Name,Branch,Age
300000,lieltflvfs,Mechanical,20
300001,aijkcrdomf,Cse,17
300002,ieeybnevlk,Mechanical,17
300003,moatkypotx,Mechanical,19
300004,lntdfuiuwn,Electrical,22
300005,xlmnmrpixv,ECE,22
300006,cqwsqklhvk,Cse,20
300007,npzyeywold,ECE,19
300008,tptjjzngcg,ECE,19
300009,osgztpkzup,Cse,22
300010,ffhnmrytat,Electrical,20
300011,ycpwzocxze,Mechanical,22
300012,adaioeebiv,ECE,20
300013,tprunogtcp,Electrical,22
300014,ynoyqtplit,Cse,22
300015,cgkmojwahp,Cse,19
300016,fuhyebkvgq,Mechanical,21
300017,tfujznfued,Electrical,21
300018,zxhbuarmaa,Cse,18
300019,dmyamszzhp,Mechanical,18
300020,uhkopddllp,Mechanical,21
300021,rsyynqqnsl,Mechanical,19
300022,lhydcqkxjw,Electrical,18
300023,jrglemssgl,Mechanical,22
300024,ukrpvxgjch,Mechanical,18
300025,faqfkzmhwf,Cse,18
300026,nedpdczqtt,Mechanical,20
300027,nxelgdwtva,ECE,20
300028,fclqxgfdgc,ECE,20
300029,yoqnsyvxfr,Electrical,19
300030,cptixtwgxa,Electrical,20
300031,xpxuphpbnr,ECE,20
300032,gdbkbfknth,Cse,20
300033,kjdprcoqij,Mechanical,18
300034,unmtqcelda,Mechanical,20
300035,eznnmveoqx,Mechanical,22
300036,hychmrzyoc,Cse,22
300037,stuntgufqa,ECE,17
300038,mlgllmtxpf,Cse,21
300039,hpbgalphnn,ECE,21
300040,oytbicfjzf,Mechanical,22
300041,cpprcfhyzi,Mechanical,22
300042,wzxenmxiws,Cse,19
300043,avctzfdsgm,Cse,22
300044,wgcnyoievv,ECE,19
300045,aagjzemchk,Cse,18
300046,iylmczetlo,Electrical,19
300047,uwxbbmumep,ECE,17
300048,nkuitptdlh,Mechanical,18
300049,nwkfceldza,ECE,22
300050,gvkcavmqsy,Electrical,17
300051,syifqjvtmh,Mechanical,20
300052,ywseohnskp,Electrical,17
300053,tmuvpufvvx,Mechanical,17
300054,nzarpmarti,ECE,21
300055,niugnxrgcf,Mechanical,17
300056,ulnmmbymdl,Mechanical,22
300057,rbmoocippq,ECE,21
300058,xwqdbvdvvg,Cse,18
300059,pmlkeaxcjz,Electrical,19
300060,smiffdfnsf,ECE,17
300061,btjkabnyed,ECE,20
300062,fefgygbtjq,Electrical,20
300063,xdueewuqcd,Mechanical,17
300064,gxryqjeymp,Electrical,21
300065,pqvixjjhei,Electrical,17
300066,vqnnasxfpi,Mechanical,17
300067,nuvqypnkyu,Cse,21
300068,qxmvjguyaj,Cse,22
300069,mivoasiynv,ECE,17
300070,twnxldoghb,Mechanical,22
300071,ddabnaqmyt,Electrical,20
300072,dlfpvifzel,Mechanical,20
300073,eupvqlgmtj,Electrical,17
300074,ehdgnhjxri,Mechanical,19
300075,bbbnodcxei,ECE,21
300076,fdkzejlmhn,Mechanical,19
300077,vrrpngzpop,Mechanical,20
300078,bkorttgibu,Mechanical,18
300079,ljqspuezki,Cse,22
300080,ewkmduxiqh,Mechanical,19
300081,ymbgicpznk,ECE,22
300082,mfppgifqab,Electrical,17
300083,frqdbvlfzx,Cse,17
300084,hdauuahhla,ECE,19
300085,uokdssiqkt,Electrical,17
300086,sqoibthghh,ECE,17
300087,ptxdphsmwl,ECE,21
300088,cjrgkdyjaa,Mechanical,17
300089,urprpmuoow,ECE,17
300090,vxgltxmqjr,Electrical,18
300091,uhghtxelru,Electrical,17
300092,wtyrbeecfz,ECE,22
300093,conrwguqxy,Mechanical,20
300094,azvshbuzjm,Cse,17
300095,ytjuacbneg,ECE,18
300096,cacfzzagek,Electrical,18
