RollNo ,Name,Branch,Age
441085,ippjzespst,Cse,22
424601,hraiuojpje,Cse,18
479642,wisyosgryp,ECE,17
424286,rzkkwfzelg,ECE,19
456760,wepxghpokl,Cse,20
437132,drdxumvpzg,ECE,19
420602,zymthgbxly,ECE,21
467135,ugaqggeswk,Mechanical,17
424862,djymrwoyxd,Cse,19
406437,lkdqjchvej,Cse,20
454872,putorvjytw,Electrical,18
412888,medlkmuhir,Cse,19
488313,umtveyrdjp,Cse,17
469211,jjfayigxgd,Mechanical,21
462033,unahaposbf,Mechanical,22
460722,dayfmakdpy,Mechanical,17
454829,hleakvjrud,ECE,18
410712,czoowtstjv,Electrical,20
444696,fomfcedbuf,Cse,22
499492,syvmvdhjsn,Mechanical,19
485699,lbtxotklil,ECE,20
471771,gbtefjmkgt,Electrical,18
499438,txebjvgkbd,Cse,20
407819,gbsgagjcxo,Mechanical,19
439611,qzhcnycrcu,Mechanical,20
472641,inhokusqeq,Electrical,17
428897,cullteycup,Electrical,22
478380,wtembjvpat,Mechanical,20
402595,dijhxkxpem,Electrical,17
490674,xkulvyjtao,Cse,22
462884,yavxjstrcq,Electrical,21
469690,raanfvenmd,Electrical,18
436038,jgdfuiuvfl,Mechanical,18
400310,dzzqxacbxe,ECE,20
476451,ycnzqrvzki,Cse,19
490407,xbnsjzadsc,ECE,19
409325,lqpkhuuiuz,Electrical,19
483899,feyxtpbono,ECE,22
431046,vvycrtctkd,Electrical,20
484469,yuuxflxoss,Electrical,21
444203,iaehdoawhi,Cse,17
495735,xobbmpgrij,Mechanical,22
466621,krwkrzehpm,ECE,22
485830,nvxjhfwpkf,Cse,19
400536,gbwutfcoxz,Mechanical,22
453481,coxgdvvvlu,ECE,21
418726,ejylqhwnoz,Mechanical,19
412753,bhzywliiex,Cse,21
425562,lurvycmqpj,Cse,21
436255,izkaevmjom,Mechanical,22
448850,yuiswamfqb,Mechanical,22
490942,dvbvddhjac,Cse,20
441173,dbxawvcydm,Mechanical,20
410117,fmtweuidkd,Electrical,20
435825,zdpvwyowhg,ECE,20
450918,ojbzyzvtxq,Electrical,18
468292,ftogqhaxaa,Electrical,22
492920,ixuxfjnvli,Mechanical,20
434515,vladgolpcw,Electrical,20
488087,lvumottebr,Cse,18
443849,aegvhfsbiq,Mechanical,18
437602,ynangywpwj,ECE,17
491590,pjnlguwxak,Mechanical,20
447454,lpwpooqerz,Electrical,21
423995,kjvzsransk,Cse,20
477951,xifbermdxd,ECE,20
489496,txxbmusqpt,Electrical,17
427044,hrptqssjrt,Electrical,20
449195,tzzarnrnpr,Electrical,17
475033,pmxfpaymyx,Mechanical,17
403208,izhdjobqmk,Mechanical,18
426492,nyvobqeylh,Electrical,21
499233,zighuvepha,Mechanical,21
438317,pqconqdosi,Electrical,20
435344,hzesowbagc,Electrical,20
440596,dzqdfyznug,ECE,20
429823,ikxvqeawda,Mechanical,22
415036,eqwafzgrhn,Mechanical,20
430435,ownvonoyuy,Electrical,17
488586,iamtqvaruq,Mechanical,20
494703,rvigefsgmy,Cse,21
488350,bacbmjscuq,Mechanical,20
453157,dbnyhhxnbo,ECE,20
469489,tutuleiogj,ECE,18
423498,cvqflpvdlx,Mechanical,17
418648,dyaympzwvo,Electrical,17
437851,uedyvxrfui,Electrical,17
435796,oljkxzhdrr,ECE,22
417802,xweeskvyhb,Electrical,22
408985,xlzqrhovkd,Electrical,21
420165,ibwvbgrjnw,ECE,20
480823,itzozkwlvu,Cse,19
449829,lhdqvwvjcw,Cse,18
484997,xfekassrmn,Mechanical,19
421064,prbjfjrcag,Mechanical,19
426450,mnedmcdbni,Electrical,22
498229,iiinwoapmy,Mechanical,18
452252,pobztjeezi,ECE,18
421899,bekjkyxipk,Mechanical,21
430638,kjeluzxhwf,Electrical,18
403002,kjkvysarpb,Cse,17
406545,jmhngpapgi,Electrical,21
421363,grdeluaavm,ECE,19
