RollNo ,Name,Branch,Age
139978,symoxbqtee,ELC,21
335134,cdutklbcdh,MEC,21
219828,hsxjueqkpw,CSE,20
369701,uasgnnlbsa,ELC,18
104154,rqlkgipces,ECE,20
115184,jxcmevabtb,MEC,18
955860,ozqgjrpmlo,MEC,17
993804,afgsrentah,ECE,18
610411,eobvoxwcbu,ELC,22
510616,ukpltszfyi,ECE,17
072577,zvgwjdsxfp,MEC,18
356414,nzljksmqxf,CSE,19
612142,bkmhlfmdgy,CSE,20
770657,otgspniwdv,CSE,19
052491,guacqkzpkm,MEC,21
047224,dywdihraeb,ECE,18
533005,iqwbugqomo,ELC,17
272997,tsfzwmmuhy,ECE,21
169219,tmlsuzfdkp,ECE,19
835566,raobsecasn,ELC,22
397484,beoganjwkb,ELC,17
067869,wvahkfswng,CSE,20
987576,qjhpjvohsr,ECE,17
970880,nhfrogrqnu,ELC,20
885170,zbodzefvki,MEC,17
837376,pqunmuqdrd,CSE,21
554268,zonhvceiwa,MEC,19
025610,edqiiuoqbh,CSE,18
544440,jucxfbanoj,CSE,18
171014,braqqurkaw,ECE,18
790639,xlpxfvxubc,ELC,19
343833,tstnqjwoec,ELC,18
717979,qmepclwrez,CSE,21
193408,vbvyxzubta,MEC,20
512687,olxyfcjlzo,CSE,19
185096,sxbbsnaldm,ECE,18
172976,xmzgjmxjnc,MEC,22
750992,mjizlxvhso,ELC,17
963677,wfarfnhnbp,CSE,17
412649,xyjwimoylr,ELC,18
123323,phqkoyakqs,ELC,22
181773,zephuucqtg,ELC,18
634997,wrbjrkhrjx,ECE,18
661358,viswjezbnd,CSE,22
708840,ggyucogblf,MEC,18
207548,rwyjucpryz,CSE,17
008580,vsdmqlylck,ECE,17
105034,gzghvorqwu,ECE,17
846751,plzzrzjeas,CSE,21
332235,njhxyeklol,MEC,22
183637,emocfdbtuq,CSE,20
091507,qutfozscwd,ELC,21
335286,hadenjzwzs,ELC,18
717765,mumuhufolk,CSE,17
608759,fosxrjvsls,ELC,20
776776,fhqcsmtuao,CSE,20
520251,flvdcxucoy,CSE,17
040320,swwxndqlae,ELC,22
369193,hkaznvizql,ELC,20
149899,ftvblpbvcs,ECE,19
949441,vizoydwzxc,ECE,17
429377,mtcygerfsc,ECE,17
098544,cxxvdlwcgz,ELC,21
024689,jrrbrybcow,ELC,21
861889,dczumesxjz,MEC,20
384160,laixzohgeo,MEC,19
086482,mrmnqxurko,ELC,19
971427,cropjbugag,MEC,17
191558,zuacihftwk,ELC,17
586612,ddtnpjkvxi,CSE,20
781374,rkxeehierp,ELC,20
774043,pbmmahiwjk,ELC,19
135344,csalcagfpz,CSE,20
823661,mzdfifcydm,CSE,18
575030,nnqwxlepxs,ELC,22
747601,ytcsmrupgf,ELC,21
606958,qbivpfdjom,ECE,21
081568,ncumqexprc,ELC,19
320589,bxopctwerp,MEC,19
627693,ttyqxzncqh,MEC,20
160942,sjhmcujubu,MEC,21
351019,wjyzsbyrso,ECE,19
