RollNo ,Name,Branch,Age
616526,gyhytoacfb,MEC,19
043868,mwprolhvjq,ELC,17
162978,iwornydwos,CSE,17
348109,dicxcqerwq,MEC,18
448199,qcdothufiu,CSE,22
014661,zfpginsifi,MEC,17
085502,nyhrdhuvnj,ELC,18
219279,gzhhygelzw,ELC,19
163223,iscmbsosjc,ECE,19
118494,bvvtesqepe,ECE,22
352326,mhfrshsoqb,MEC,21
230139,xfmuwxkcyr,ELC,18
682702,gkdaachbzm,MEC,22
044808,yrjglqglpl,MEC,20
170283,rycogjhlwz,CSE,20
959502,tbpxsefsuz,ELC,21
517965,swmrvpigfz,ECE,18
239490,vgpxvyoglj,CSE,22
808255,dnzmprvqif,ECE,19
895628,lwzkxtwnbd,ECE,18
070803,zxvharmhze,ECE,20
688068,wpdpdabpts,ELC,17
560175,nqzdpgwufw,ELC,21
225126,fcvlyphnla,ECE,17
680778,gwwqnaccgc,MEC,18
997118,foyyfxzuba,MEC,20
499257,xkjyehvdko,CSE,18
986842,giwxfmkazw,CSE,18
213784,rfphkihgez,MEC,21
618495,jbstzsebbk,CSE,22
027050,eqwyvwemaa,ECE,20
700215,gxcafrmezy,ECE,20
159607,oognhokxxf,CSE,21
852645,svufporrwd,ELC,20
479308,ddgpxhoiml,MEC,17
028594,fecgfepbyz,ECE,21
272260,cecctetbni,ELC,22
039953,xrrniqqsiw,ELC,19
517324,ugsmlqvqyx,ELC,21
681160,btnrgkkghj,CSE,17
442377,ytgflcuaqe,ECE,22
229400,lwmfpabofs,ECE,17
428613,dwzecvqhhb,ELC,19
453411,lxmredvxsg,MEC,18
646399,vwutyyocaj,ECE,19
806579,weiawuzdav,ECE,21
551002,vgjecczivi,CSE,21
023329,hwastnldaf,ELC,18
984533,zvfqsppriu,ECE,22
334409,oyqnvkyrbe,CSE,18
831449,ryjabyjfvg,MEC,18
823042,tmoybzifxo,CSE,21
850432,sxwhjenjrs,ECE,17
551842,krhlyqavhw,MEC,17
362738,hawkmomjtc,ECE,20
179572,xnwpxexcjh,CSE,17
481591,obmtrahhwc,ECE,17
308828,cabtdglxsx,CSE,17
897805,octyzmiusq,CSE,19
342353,hwuxsbvvmm,MEC,20
618184,akotlgcljq,CSE,19
043070,fruiywviny,ECE,17
706575,zovymmolir,MEC,19
745948,iyqarfgjfd,ECE,18
433080,snvodehphn,CSE,17
418683,xtytgfbuqf,CSE,20
893735,jjoinyroml,MEC,19
796195,sktetcdlvy,MEC,20
801640,qqjzggfode,CSE,18
931716,wtntvaprdd,MEC,17
900323,beowjkvezg,CSE,19
269870,ppxxnvenmk,ECE,18
644617,suzwarrvrf,ECE,22
637095,nzvcqteroz,CSE,20
702443,hgvymnvalc,CSE,17
662588,vbwygeteqn,ECE,22
073702,qjezfdbbyg,ELC,19
808383,kaxmyihkkm,ECE,18
307377,vntelkxryw,CSE,17
164893,dvxfysbepi,CSE,19
964947,cgqvtfwywq,CSE,20
907927,phylxxspwz,MEC,17
927893,tltyvlajeg,ELC,19
567232,yqycdpqaup,ELC,17
490757,zmizrspbpj,CSE,21
114277,lrcficzkdw,ELC,17
629230,tsdomogpso,MEC,20
315332,wgbdjmlkjy,CSE,18
114260,mlivriisgs,CSE,21
413181,qtcztrzkry,CSE,19
930558,muzwsyvesr,ECE,17
940057,ryjwwslobh,ECE,21
171614,illpjecili,ELC,20
206683,qrbdikwpdx,ELC,20
180179,ddmnxfiniq,CSE,22
001781,enhfazjtlo,CSE,17
949698,ygowpvzbnb,ELC,19
997027,pazhmzhtan,CSE,18
426703,uuggmawtrh,ECE,18
938749,vjyahbpxon,MEC,19
766415,abgcilildl,MEC,17
755369,allmwqtvnt,ECE,19
067900,zntoamkjwe,CSE,21
007616,chloyjsqmt,ELC,21
848358,nhmidknttv,CSE,20
553432,zmwalggjny,MEC,21
835338,mawvydaoao,MEC,22
441673,zutqvxjjpw,CSE,19
425570,ccbprnnbya,ELC,21
302791,vwymzzqkaw,ELC,17
914394,hsdcbecruu,CSE,18
719145,myvofupewg,ECE,19
615701,ytlsspeknu,ECE,19
253611,ftewbkiemm,MEC,22
881112,fnrlhfjezb,ECE,22
221029,wriqavkiau,MEC,22
506730,qslxtkqqfp,MEC,17
209974,ardqrjccyn,MEC,19
142500,uenwthfzkc,ECE,17
752006,zqgzksyckv,ELC,20
234451,jxosvwuksk,MEC,18
180755,wehezbtzut,ECE,22
451011,szdjjucwhs,ELC,19
474712,djshdglgag,ELC,22
745000,phvynttuue,ELC,17
864776,vydvquvmzk,ELC,21
501125,plrcviirmn,ELC,22
206349,umdxjemdwy,CSE,17
142977,nrppzlbjho,MEC,22
447611,ponknemklm,ELC,20
510007,zkxwzaovhj,ECE,18
587851,iwdkvbjpkx,CSE,21
602654,ijygpgjdyb,ECE,21
749666,faeagzvbnv,MEC,21
221962,yyyuuudfow,ECE,22
752158,hmzjdvljhn,MEC,20
190670,gkvuajwihr,CSE,22
200907,tiiihzsuiw,ELC,17
506464,gpkdeyodpr,ECE,21
786361,otpuutavbz,ECE,22
075003,ivfeibzxys,ECE,20
789062,vynyowprwm,ECE,20
878186,oaoprnmnag,ELC,21
509624,nbyjwvrmsr,ELC,20
872781,cqmxxhoccn,ECE,17
624892,duonnpcsvw,ELC,21
590549,tknlvirxvw,CSE,22
454374,keislkvctm,ELC,18
845175,rybafvcfqh,CSE,22
724603,sqkfqjxkpz,ELC,22
787804,cctowighhl,CSE,19
608081,pgqehqsjew,ECE,18
830968,ljjkfedfrp,ELC,22
310993,wnwyxkmrqp,MEC,18
245706,odftsoyaab,ECE,18
074448,kmrkfcwxwu,CSE,21
544412,flivrhjepj,MEC,21
063380,helppwgiwo,CSE,17
237607,ophnebfyvo,ECE,19
890096,fyngekrhnk,ECE,17
485853,yqyijsttap,ECE,22
740477,gcojjeecbe,MEC,21
428048,cisgoehozk,MEC,18
731251,lrlgsurmhz,ECE,22
769345,twrsziltsq,ECE,20
210069,uryjrsiaoq,CSE,17
306734,sflxolrluu,ECE,18
538582,phdicgxuzu,MEC,18
084146,wocftmukuj,MEC,18
106599,ukewugojus,CSE,21
